                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.051025,               0.057044,                0.07094,               0.028416,                0.62237,                0.44571,                0.52963,                0.34158,                0.60144,                0.41888,                0.48109,                0.28133,               0.048905,               0.044396,               0.042827,               0.018253,                 0.0937,                 0.0007,                 0.0007
                      1,               0.050595,               0.057042,               0.067991,                 0.0292,                0.70656,                0.44794,                0.55297,                0.35291,                0.68944,                0.42903,                0.50438,                0.28787,               0.048763,               0.043579,               0.041708,               0.017315,               0.086485,              0.0014851,              0.0014851
                      2,               0.052005,               0.056672,               0.078925,               0.027146,                0.67849,                0.48648,                0.58014,                0.36394,                0.64575,                0.45556,                0.51781,                0.29791,               0.048848,               0.043507,               0.041705,               0.016016,               0.079254,              0.0022545,              0.0022545
                      3,                0.05012,               0.053159,               0.074052,               0.023813,                0.66573,                0.52579,                0.58456,                0.35157,                  0.647,                0.47717,                0.51686,                0.28959,               0.050667,               0.043221,               0.042549,               0.015295,               0.072008,              0.0030079,              0.0030079
                      4,               0.053023,                0.05297,               0.068743,               0.023244,                0.64926,                0.55691,                0.60569,                0.34947,                0.62772,                0.50347,                0.53513,                0.30083,               0.052762,               0.042579,               0.039457,                 0.0145,               0.064746,              0.0037456,              0.0037456
                      5,               0.053934,               0.054159,               0.063669,                0.02406,                0.65289,                0.56785,                0.63751,                 0.3538,                0.60557,                0.51494,                 0.5584,                0.31105,               0.051556,               0.041926,               0.039366,               0.013833,               0.057467,              0.0044673,              0.0044673
                      6,               0.051905,               0.051064,               0.067912,               0.021322,                0.58915,                0.57571,                0.59716,                0.32512,                 0.6066,                0.47211,                0.52084,                 0.2857,               0.054911,               0.041997,               0.038912,               0.013681,               0.050173,              0.0051733,              0.0051733
                      7,               0.059543,               0.056301,               0.067796,               0.023636,                0.58808,                0.57065,                0.58532,                0.30663,                 0.5873,                0.51337,                0.53226,                0.29957,               0.053916,               0.042068,               0.038422,               0.012942,               0.042863,              0.0058634,              0.0058634
                      8,                0.06036,               0.053549,               0.068491,                 0.0225,                0.47199,                0.54285,                0.50718,                0.20547,                0.49886,                0.47587,                0.46324,                0.20976,               0.066845,               0.041606,               0.037803,               0.013706,               0.035538,              0.0065377,              0.0065377
                      9,               0.062544,               0.051889,                0.06559,               0.021954,                0.58397,                0.53202,                0.53677,                0.25648,                0.55368,                0.48841,                0.48976,                0.23463,               0.058569,                0.04234,               0.038697,               0.014264,               0.028196,              0.0071961,              0.0071961
