               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088714,            0.033097,            0.043429,             0.13365,             0.21527,             0.16225,            0.065869,            0.058595,            0.016703,            0.031444,            0.070138,            0.003318,            0.003318
                   1,            0.060837,            0.028723,            0.026764,             0.33841,             0.47482,              0.3601,             0.16751,            0.048959,             0.01353,            0.021043,            0.040116,           0.0066294,           0.0066294
                   2,            0.057762,             0.02686,             0.01905,             0.43765,             0.48183,             0.43194,             0.20735,            0.050235,            0.012326,            0.016944,            0.010072,           0.0099187,           0.0099187
                   3,              0.0529,            0.024638,            0.015577,             0.47689,             0.45473,             0.42676,             0.22688,             0.04649,            0.013724,            0.016904,            0.009901,            0.009901,            0.009901
                   4,              0.0491,            0.025416,            0.014846,             0.58327,             0.53962,             0.54793,             0.28666,            0.043462,            0.013548,            0.012695,            0.009901,            0.009901,            0.009901
                   5,            0.047888,            0.025695,            0.013302,             0.62609,             0.50168,             0.55505,             0.28399,            0.045545,            0.013274,            0.013267,            0.009868,            0.009868,            0.009868
                   6,            0.046396,            0.024818,            0.012501,             0.67709,             0.62221,             0.65405,             0.36855,            0.040289,              0.0123,            0.010312,            0.009835,            0.009835,            0.009835
                   7,            0.045226,            0.026026,            0.011261,             0.67461,             0.55394,             0.62389,             0.36233,            0.040504,            0.013006,            0.010654,            0.009802,            0.009802,            0.009802
                   8,            0.044295,            0.023742,             0.01069,             0.67876,             0.57535,             0.63433,             0.36317,              0.0412,            0.013447,            0.010445,            0.009769,            0.009769,            0.009769
                   9,            0.043069,            0.022337,           0.0090976,             0.70007,             0.65332,             0.69355,             0.41004,            0.037924,            0.011508,           0.0069732,            0.009736,            0.009736,            0.009736
                  10,            0.042113,            0.024025,           0.0096052,             0.70476,             0.59846,             0.66204,             0.39801,            0.038161,            0.012342,           0.0087291,            0.009703,            0.009703,            0.009703
                  11,            0.041122,            0.023682,           0.0092575,             0.70426,              0.5434,              0.6087,             0.36754,            0.039907,            0.012386,           0.0097022,             0.00967,             0.00967,             0.00967
                  12,            0.040835,            0.023609,           0.0086329,             0.76531,             0.67122,             0.74555,             0.48167,            0.035028,            0.011343,           0.0063595,            0.009637,            0.009637,            0.009637
                  13,            0.039739,            0.021813,           0.0080577,             0.73183,             0.65204,             0.70733,             0.45703,            0.035615,            0.011609,           0.0067684,            0.009604,            0.009604,            0.009604
                  14,            0.039301,            0.021004,           0.0077215,             0.78635,             0.65094,             0.74753,             0.48052,            0.034777,            0.011141,           0.0066897,            0.009571,            0.009571,            0.009571
                  15,            0.038869,            0.022534,           0.0077699,              0.7718,             0.65612,             0.74677,             0.48005,            0.034601,            0.011097,            0.006162,            0.009538,            0.009538,            0.009538
                  16,            0.038803,            0.022489,           0.0076975,              0.7667,             0.65363,             0.73894,             0.47079,            0.034837,            0.011018,           0.0063366,            0.009505,            0.009505,            0.009505
                  17,            0.038295,            0.022327,           0.0076717,             0.77639,             0.68204,             0.75416,             0.50354,            0.033677,            0.011069,            0.005049,            0.009472,            0.009472,            0.009472
                  18,            0.037901,            0.022058,           0.0070989,             0.78219,             0.68645,             0.76287,             0.51175,            0.032795,             0.01084,           0.0059956,            0.009439,            0.009439,            0.009439
                  19,            0.037236,            0.021719,            0.006588,             0.75477,             0.71373,             0.77293,             0.48407,            0.033493,            0.010516,           0.0049912,            0.009406,            0.009406,            0.009406
                  20,            0.037852,            0.022855,            0.007218,             0.79981,             0.63575,             0.74273,             0.48224,             0.03486,            0.010955,           0.0079897,            0.009373,            0.009373,            0.009373
