               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08914,            0.032828,            0.043706,             0.40504,             0.19491,             0.18222,            0.083507,            0.057269,            0.016391,            0.031302,            0.070138,            0.003318,            0.003318
                   1,             0.06049,            0.028482,            0.026199,             0.33912,             0.42426,             0.31446,             0.14928,            0.049851,            0.014007,            0.021468,            0.040116,           0.0066294,           0.0066294
                   2,            0.057165,             0.02695,            0.019503,             0.39929,             0.51348,              0.4195,             0.18637,            0.047462,            0.012347,            0.015463,            0.010072,           0.0099188,           0.0099188
                   3,             0.05219,            0.025771,            0.016642,             0.52324,             0.44579,             0.45419,             0.23953,            0.047183,            0.012807,            0.016458,            0.009901,            0.009901,            0.009901
                   4,            0.049474,            0.025056,            0.015303,             0.56724,             0.52247,               0.554,             0.29638,            0.042961,             0.01355,            0.013058,            0.009901,            0.009901,            0.009901
                   5,            0.046909,            0.025716,            0.012951,             0.64307,             0.57998,             0.61837,             0.35758,            0.040231,            0.013667,            0.011177,            0.009868,            0.009868,            0.009868
                   6,            0.046733,            0.024421,            0.012531,             0.61436,             0.53115,             0.58185,              0.3321,            0.041741,            0.012801,             0.01573,            0.009835,            0.009835,            0.009835
                   7,            0.045026,            0.025988,            0.011251,             0.70459,             0.60262,             0.66852,             0.39445,            0.040276,            0.011826,           0.0096473,            0.009802,            0.009802,            0.009802
                   8,            0.044177,            0.023603,            0.010463,              0.6893,             0.63693,             0.66871,             0.39004,            0.038894,            0.011654,           0.0081903,            0.009769,            0.009769,            0.009769
                   9,            0.042807,            0.023173,            0.010178,             0.73075,             0.65249,             0.70729,             0.42833,            0.036804,            0.012066,           0.0082666,            0.009736,            0.009736,            0.009736
                  10,            0.041779,            0.023496,           0.0094765,             0.67158,             0.60696,             0.68724,              0.4193,            0.037268,            0.011718,            0.008215,            0.009703,            0.009703,            0.009703
                  11,            0.041356,            0.023354,            0.009072,             0.65439,             0.65702,             0.70018,             0.42683,             0.03628,            0.011509,           0.0080942,             0.00967,             0.00967,             0.00967
                  12,            0.040157,            0.023502,           0.0086063,             0.77811,             0.67474,             0.75501,             0.48038,            0.036096,             0.01107,            0.006921,            0.009637,            0.009637,            0.009637
                  13,            0.039455,            0.021629,           0.0085245,             0.75125,             0.67545,             0.74336,             0.45708,            0.036721,            0.011054,           0.0069053,            0.009604,            0.009604,            0.009604
                  14,            0.039074,            0.021622,           0.0078114,             0.78808,             0.65131,             0.74319,             0.46279,            0.035004,            0.011413,           0.0076833,            0.009571,            0.009571,            0.009571
                  15,            0.038857,             0.02234,           0.0076014,             0.79973,             0.62948,             0.74389,             0.49633,            0.033855,            0.011173,           0.0083563,            0.009538,            0.009538,            0.009538
                  16,             0.03883,            0.023257,           0.0080455,             0.81034,             0.65976,             0.75294,             0.48851,            0.034729,            0.011163,           0.0089215,            0.009505,            0.009505,            0.009505
                  17,            0.038101,            0.021529,            0.007459,             0.77728,               0.709,             0.77288,             0.49266,            0.033717,            0.010964,           0.0056739,            0.009472,            0.009472,            0.009472
                  18,            0.037549,            0.021493,           0.0069389,             0.75087,             0.68634,             0.75585,             0.49892,            0.032616,            0.010759,           0.0057126,            0.009439,            0.009439,            0.009439
                  19,            0.037116,            0.022396,           0.0066251,             0.77496,             0.70146,             0.76919,             0.50715,            0.033379,            0.010918,           0.0061199,            0.009406,            0.009406,            0.009406
                  20,            0.037141,            0.021986,           0.0068683,             0.78219,             0.70494,             0.77811,              0.5052,            0.033157,            0.011012,           0.0055353,            0.009373,            0.009373,            0.009373
                  21,            0.036513,             0.02149,           0.0065561,             0.79189,              0.7071,             0.80006,              0.5395,            0.032252,            0.010344,           0.0048653,             0.00934,             0.00934,             0.00934
