               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074799,            0.033997,            0.036369,             0.48162,             0.34173,             0.34288,             0.16027,            0.046762,              0.0133,            0.019614,            0.070129,            0.003319,            0.003319
                   1,            0.053665,            0.024614,            0.017004,             0.61531,             0.59665,              0.6075,             0.29478,            0.044094,            0.010678,            0.010093,            0.040107,           0.0066304,           0.0066304
                   2,            0.049625,            0.023977,            0.011997,             0.59209,             0.62594,             0.61344,              0.3242,            0.042655,            0.010648,           0.0074785,            0.010063,           0.0099198,           0.0099198
                   3,            0.043586,            0.021255,            0.010262,             0.66298,             0.64756,             0.66955,             0.39346,            0.036843,            0.011352,           0.0067149,            0.009901,            0.009901,            0.009901
                   4,            0.041482,            0.022379,           0.0098892,             0.76827,             0.65312,             0.71127,              0.4353,            0.035609,            0.011158,           0.0080563,            0.009901,            0.009901,            0.009901
                   5,            0.039272,            0.022514,           0.0090629,             0.71476,             0.62271,             0.68326,             0.44412,            0.032924,            0.011083,           0.0087608,            0.009868,            0.009868,            0.009868
                   6,            0.038407,            0.022556,           0.0082588,             0.72198,             0.64562,             0.70266,             0.44243,            0.035679,            0.010731,            0.008669,            0.009835,            0.009835,            0.009835
                   7,            0.037457,            0.021316,           0.0079674,              0.7304,             0.64572,             0.69344,             0.40129,            0.034984,            0.010988,            0.010568,            0.009802,            0.009802,            0.009802
                   8,            0.036942,            0.021331,           0.0075821,             0.82006,             0.68811,             0.78651,             0.52657,            0.031556,            0.010356,           0.0062163,            0.009769,            0.009769,            0.009769
                   9,             0.03631,            0.020775,           0.0073169,             0.79838,             0.69207,             0.77289,             0.51502,            0.032026,             0.01057,           0.0066883,            0.009736,            0.009736,            0.009736
                  10,            0.035728,            0.020619,           0.0064422,             0.77119,             0.72381,             0.79565,             0.54158,            0.029521,            0.010043,           0.0046466,            0.009703,            0.009703,            0.009703
                  11,            0.034516,            0.020774,           0.0066641,             0.76647,             0.69491,             0.77034,             0.52701,            0.030127,            0.010207,           0.0059029,             0.00967,             0.00967,             0.00967
                  12,             0.03419,            0.019641,           0.0062578,             0.79698,             0.73093,             0.79305,             0.54357,            0.030439,            0.010219,           0.0050788,            0.009637,            0.009637,            0.009637
                  13,            0.033622,            0.018712,           0.0060505,             0.81125,             0.75568,             0.82862,             0.58957,            0.028981,           0.0095413,           0.0050725,            0.009604,            0.009604,            0.009604
                  14,            0.032589,            0.019352,           0.0055607,             0.80613,             0.73472,             0.80139,             0.57866,            0.029009,           0.0094087,           0.0056721,            0.009571,            0.009571,            0.009571
