               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090389,            0.033356,            0.044089,             0.39232,             0.17693,             0.16761,            0.068544,            0.059284,            0.016272,            0.031145,            0.070152,           0.0033164,           0.0033164
                   1,            0.061863,            0.028404,            0.025416,             0.29138,              0.3905,             0.29575,             0.13433,             0.05084,            0.013404,            0.022886,             0.04013,           0.0066278,           0.0066278
                   2,            0.058119,            0.025705,            0.018718,             0.37883,             0.47457,             0.38956,             0.17468,            0.051115,            0.012703,            0.015535,            0.010086,           0.0099172,           0.0099172
                   3,            0.054163,            0.026326,            0.015583,             0.48797,             0.52179,             0.51083,             0.26837,            0.045069,            0.012446,            0.012696,            0.009901,            0.009901,            0.009901
                   4,            0.050215,            0.024787,            0.013974,             0.56675,             0.50794,             0.51359,             0.26865,            0.044756,            0.012904,            0.012295,            0.009901,            0.009901,            0.009901
                   5,            0.048639,             0.02596,            0.012627,             0.61421,             0.54684,             0.58593,             0.30821,            0.044617,            0.012761,            0.010333,            0.009868,            0.009868,            0.009868
                   6,            0.046808,            0.024238,            0.011538,             0.67388,              0.5643,             0.60823,             0.32955,            0.041572,            0.012572,            0.011288,            0.009835,            0.009835,            0.009835
                   7,            0.045503,             0.02525,            0.010797,             0.69289,             0.61063,             0.66752,             0.37573,            0.039775,            0.012193,            0.012141,            0.009802,            0.009802,            0.009802
                   8,            0.044988,            0.024966,            0.009877,             0.70876,              0.5477,             0.64529,             0.36265,            0.041045,            0.012599,            0.013659,            0.009769,            0.009769,            0.009769
                   9,            0.043972,            0.022287,            0.008985,             0.71457,             0.61111,             0.68698,             0.42101,            0.037685,            0.012182,           0.0089832,            0.009736,            0.009736,            0.009736
                  10,            0.042176,            0.023197,           0.0087579,             0.64276,             0.61894,             0.65363,             0.38738,            0.037675,            0.012007,            0.010496,            0.009703,            0.009703,            0.009703
                  11,             0.04193,            0.023435,            0.008967,             0.67682,             0.60606,             0.64958,             0.37642,            0.039653,            0.012088,            0.010623,             0.00967,             0.00967,             0.00967
                  12,            0.041365,            0.023318,           0.0082483,             0.73302,             0.66523,             0.71359,             0.44093,            0.036208,            0.011742,           0.0072267,            0.009637,            0.009637,            0.009637
                  13,            0.040551,            0.023867,           0.0084193,             0.76009,             0.61076,             0.71259,             0.44122,            0.036622,            0.011656,           0.0067804,            0.009604,            0.009604,            0.009604
                  14,            0.039379,            0.020904,           0.0072823,             0.75527,              0.6289,              0.7209,             0.46138,            0.035011,            0.011494,            0.009525,            0.009571,            0.009571,            0.009571
                  15,            0.039555,            0.022092,           0.0074323,              0.7802,             0.64856,             0.74853,             0.47007,            0.033846,            0.011505,           0.0066202,            0.009538,            0.009538,            0.009538
                  16,             0.03855,            0.021271,           0.0075333,             0.76345,             0.66613,             0.75135,             0.47357,            0.034904,            0.011313,           0.0059142,            0.009505,            0.009505,            0.009505
                  17,            0.038987,             0.02297,           0.0070667,             0.79611,             0.65346,             0.75248,             0.48378,            0.033958,            0.011173,           0.0078412,            0.009472,            0.009472,            0.009472
                  18,            0.038347,            0.023124,            0.006973,             0.81964,             0.69462,             0.78599,             0.52231,            0.032537,            0.010601,           0.0054554,            0.009439,            0.009439,            0.009439
                  19,            0.037481,            0.021003,           0.0063644,             0.79164,             0.69437,             0.77782,             0.48384,            0.034622,            0.010965,           0.0047626,            0.009406,            0.009406,            0.009406
                  20,             0.03732,            0.021586,           0.0059883,             0.71665,             0.63407,             0.69113,             0.45906,            0.032841,             0.01124,           0.0093638,            0.009373,            0.009373,            0.009373
                  21,            0.037685,            0.022373,           0.0066613,             0.80126,             0.72364,             0.79908,              0.5324,            0.032196,            0.010411,           0.0048008,             0.00934,             0.00934,             0.00934
                  22,            0.037302,            0.022978,           0.0063299,             0.78931,             0.69881,             0.78155,             0.51825,            0.032405,            0.010908,           0.0067705,            0.009307,            0.009307,            0.009307
                  23,            0.036643,            0.021208,           0.0058471,             0.80195,             0.71385,             0.78871,             0.52078,            0.032862,            0.010618,           0.0066968,            0.009274,            0.009274,            0.009274
                  24,            0.036358,            0.020797,           0.0057663,             0.82842,             0.67371,              0.7768,             0.51974,            0.031845,            0.010561,           0.0064317,            0.009241,            0.009241,            0.009241
                  25,            0.036143,            0.023294,           0.0057227,             0.80987,             0.69779,             0.78687,             0.53587,            0.032659,             0.01065,           0.0046931,            0.009208,            0.009208,            0.009208
                  26,            0.036112,            0.020743,           0.0057943,             0.77521,             0.72894,             0.78886,             0.53489,            0.031564,            0.010387,           0.0043757,            0.009175,            0.009175,            0.009175
                  27,            0.035822,            0.021424,            0.005683,             0.75854,             0.69033,             0.76169,             0.51575,             0.03272,            0.011014,           0.0069802,            0.009142,            0.009142,            0.009142
                  28,            0.035306,            0.020227,           0.0054587,             0.77724,              0.7231,             0.79986,             0.55173,            0.031301,            0.010197,           0.0045746,            0.009109,            0.009109,            0.009109
                  29,            0.035229,            0.021509,           0.0057798,             0.77222,             0.70517,             0.78326,             0.52323,            0.031931,            0.010745,           0.0061721,            0.009076,            0.009076,            0.009076
                  30,            0.035719,            0.021631,           0.0052803,             0.79261,             0.72798,             0.79825,             0.52943,            0.031771,            0.010352,           0.0044899,            0.009043,            0.009043,            0.009043
                  31,            0.034789,            0.021047,            0.004957,             0.82128,             0.72932,             0.80639,             0.55782,            0.030546,            0.010325,           0.0042468,             0.00901,             0.00901,             0.00901
                  32,            0.034322,            0.018199,           0.0052526,             0.79507,             0.69849,             0.79147,             0.55022,             0.03086,            0.010443,           0.0054279,            0.008977,            0.008977,            0.008977
                  33,             0.03499,            0.019673,           0.0055939,             0.82001,             0.69772,             0.80478,             0.55607,            0.030592,            0.010024,           0.0046406,            0.008944,            0.008944,            0.008944
                  34,            0.035124,            0.022515,           0.0052482,             0.77937,             0.74383,             0.80441,             0.55821,            0.030089,            0.010137,           0.0041282,            0.008911,            0.008911,            0.008911
                  35,            0.034286,            0.020011,           0.0051299,             0.76324,             0.77004,             0.81728,             0.55896,            0.030695,            0.010246,           0.0046885,            0.008878,            0.008878,            0.008878
                  36,            0.034202,            0.020133,           0.0049122,             0.81607,             0.72944,             0.81723,             0.57607,            0.030466,           0.0099643,            0.003664,            0.008845,            0.008845,            0.008845
                  37,            0.034009,            0.019978,            0.004899,              0.8228,             0.76515,             0.82976,             0.57809,            0.029702,            0.009726,           0.0029581,            0.008812,            0.008812,            0.008812
                  38,            0.034023,            0.021163,           0.0043907,             0.84186,              0.7334,              0.8217,             0.57872,            0.030165,           0.0097484,           0.0036658,            0.008779,            0.008779,            0.008779
                  39,            0.033446,            0.019191,            0.004477,             0.79972,             0.71297,             0.79677,             0.56437,            0.030967,           0.0099669,           0.0043975,            0.008746,            0.008746,            0.008746
                  40,            0.033991,            0.020813,           0.0050268,             0.80081,             0.71136,             0.79829,             0.54593,            0.030743,            0.010098,           0.0053519,            0.008713,            0.008713,            0.008713
                  41,            0.033426,            0.020702,           0.0043866,             0.81328,             0.75309,             0.82141,             0.56869,             0.03049,           0.0096746,           0.0042878,             0.00868,             0.00868,             0.00868
                  42,            0.033726,            0.020431,           0.0045873,             0.80725,             0.74374,             0.81906,              0.5719,            0.029492,           0.0098509,           0.0040724,            0.008647,            0.008647,            0.008647
                  43,            0.033178,            0.019056,           0.0037742,             0.83259,             0.73392,             0.81629,             0.58012,            0.029456,           0.0096251,           0.0040558,            0.008614,            0.008614,            0.008614
                  44,             0.03321,            0.019137,           0.0051479,              0.8323,             0.77004,             0.84256,             0.59131,            0.028858,           0.0095288,           0.0041585,            0.008581,            0.008581,            0.008581
                  45,            0.033161,             0.01885,           0.0041739,             0.82262,             0.75892,             0.83238,             0.57812,            0.029493,           0.0095665,           0.0038685,            0.008548,            0.008548,            0.008548
                  46,            0.033235,             0.02023,           0.0039416,             0.80701,             0.75881,             0.82323,             0.58668,            0.029292,           0.0095443,           0.0035187,            0.008515,            0.008515,            0.008515
                  47,             0.03293,            0.020308,           0.0042311,             0.78575,             0.75779,             0.82203,             0.57934,            0.029141,           0.0095415,           0.0038678,            0.008482,            0.008482,            0.008482
                  48,            0.032675,            0.019291,            0.004026,             0.83212,             0.75946,              0.8249,             0.58349,            0.029868,           0.0096318,            0.004222,            0.008449,            0.008449,            0.008449
                  49,            0.032545,             0.02081,           0.0039367,             0.83298,             0.72609,             0.81648,             0.59352,            0.029256,           0.0096601,           0.0052014,            0.008416,            0.008416,            0.008416
                  50,            0.032079,            0.019384,           0.0043895,             0.83503,             0.75371,              0.8283,             0.60411,            0.029087,           0.0096046,           0.0043257,            0.008383,            0.008383,            0.008383
                  51,            0.032755,            0.020697,            0.004167,             0.83466,             0.76992,             0.83884,               0.603,            0.028222,            0.009442,           0.0037595,             0.00835,             0.00835,             0.00835
                  52,            0.032188,            0.019317,           0.0033641,             0.78608,              0.7663,             0.83086,              0.5989,            0.028888,           0.0096621,           0.0042216,            0.008317,            0.008317,            0.008317
                  53,            0.031913,            0.018479,           0.0039039,             0.85225,             0.74344,             0.83242,             0.59646,            0.028465,            0.009603,           0.0033988,            0.008284,            0.008284,            0.008284
                  54,            0.032409,            0.020245,           0.0042969,             0.85295,             0.74482,             0.84631,             0.60336,            0.028552,           0.0095338,           0.0038875,            0.008251,            0.008251,            0.008251
                  55,             0.03182,            0.019684,           0.0038795,             0.81907,              0.7659,             0.83721,             0.60846,            0.028425,           0.0095091,           0.0041443,            0.008218,            0.008218,            0.008218
                  56,            0.031729,            0.018086,           0.0038612,             0.81171,             0.75028,             0.83196,             0.59875,            0.029361,           0.0094476,           0.0041304,            0.008185,            0.008185,            0.008185
                  57,            0.031484,            0.018255,           0.0039374,             0.79648,             0.79126,             0.84966,             0.61457,            0.028342,           0.0094093,           0.0034447,            0.008152,            0.008152,            0.008152
                  58,            0.031314,             0.01987,             0.00433,             0.81446,             0.78588,             0.84198,             0.60672,            0.028182,           0.0093999,           0.0036275,            0.008119,            0.008119,            0.008119
                  59,            0.031398,            0.019505,           0.0036287,             0.81702,             0.79591,             0.85899,             0.62069,            0.027646,           0.0091699,           0.0031734,            0.008086,            0.008086,            0.008086
                  60,            0.031024,            0.018484,           0.0035991,             0.82845,              0.7621,             0.84356,               0.599,            0.028368,           0.0093794,           0.0054188,            0.008053,            0.008053,            0.008053
                  61,            0.031338,            0.019156,            0.003563,             0.86601,             0.78184,             0.85912,             0.62874,            0.027378,           0.0088637,           0.0032374,             0.00802,             0.00802,             0.00802
                  62,            0.031229,            0.019903,           0.0033959,             0.84658,             0.76253,             0.85553,             0.62522,            0.027654,           0.0091386,            0.003443,            0.007987,            0.007987,            0.007987
                  63,            0.030699,            0.018017,           0.0033384,             0.81216,              0.7842,               0.848,             0.62206,            0.027442,           0.0092221,           0.0032686,            0.007954,            0.007954,            0.007954
                  64,            0.030434,            0.017594,           0.0034836,             0.85102,             0.78797,             0.85338,             0.61649,            0.028212,           0.0092176,            0.003444,            0.007921,            0.007921,            0.007921
                  65,            0.030952,            0.020839,           0.0036627,             0.82029,             0.76763,             0.84374,             0.61361,            0.028202,           0.0095776,           0.0048133,            0.007888,            0.007888,            0.007888
                  66,            0.030918,            0.018771,           0.0037585,             0.84727,             0.73849,              0.8362,             0.59735,            0.028242,           0.0095869,              0.0032,            0.007855,            0.007855,            0.007855
                  67,            0.030643,            0.017854,           0.0032732,             0.83209,             0.75064,             0.84329,             0.61866,            0.027882,           0.0093523,            0.003687,            0.007822,            0.007822,            0.007822
                  68,             0.03064,             0.01897,           0.0032528,             0.83017,             0.75672,               0.842,             0.61089,            0.028159,           0.0095413,           0.0041384,            0.007789,            0.007789,            0.007789
                  69,            0.030059,             0.01709,           0.0038597,             0.85977,             0.74698,             0.85133,             0.62605,            0.027517,           0.0091987,           0.0034133,            0.007756,            0.007756,            0.007756
                  70,            0.029836,            0.017819,           0.0030668,             0.82564,             0.77768,             0.84993,             0.61655,            0.027317,           0.0092403,           0.0038619,            0.007723,            0.007723,            0.007723
                  71,            0.030069,            0.018316,           0.0033547,              0.8576,             0.75497,             0.84119,             0.60757,            0.028052,           0.0091644,           0.0039577,             0.00769,             0.00769,             0.00769
                  72,            0.030151,            0.018354,           0.0031488,              0.8418,              0.7546,             0.84222,             0.62202,            0.027768,           0.0091842,           0.0044068,            0.007657,            0.007657,            0.007657
                  73,            0.029505,            0.016422,            0.003414,             0.82052,             0.79842,             0.86342,             0.63488,            0.027438,           0.0092142,            0.003339,            0.007624,            0.007624,            0.007624
