               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087754,            0.032566,            0.043276,             0.77957,             0.17073,             0.19295,            0.082036,            0.056259,            0.016526,            0.030459,            0.070129,            0.003319,            0.003319
                   1,            0.060049,            0.028445,            0.026043,             0.29799,             0.39919,             0.29971,             0.11917,            0.054128,            0.013234,            0.021904,            0.040107,           0.0066304,           0.0066304
                   2,            0.056799,            0.027565,            0.020146,             0.38354,             0.50581,              0.4316,             0.18627,            0.050065,            0.012663,            0.015895,            0.010063,           0.0099198,           0.0099198
                   3,            0.052169,            0.024342,             0.01608,             0.55667,             0.51252,             0.49905,             0.27653,            0.042288,            0.012778,            0.012813,            0.009901,            0.009901,            0.009901
                   4,            0.048528,            0.024605,            0.014222,             0.65763,             0.55639,             0.58887,             0.33535,            0.043079,            0.012568,            0.012761,            0.009901,            0.009901,            0.009901
                   5,             0.04663,            0.025719,            0.012506,             0.66754,             0.51725,             0.56905,             0.30376,            0.042911,             0.01368,            0.010728,            0.009868,            0.009868,            0.009868
                   6,            0.045259,            0.025823,            0.011481,              0.7009,             0.57503,             0.63605,             0.35862,            0.039962,            0.012297,             0.01139,            0.009835,            0.009835,            0.009835
                   7,            0.044496,            0.024164,            0.011301,             0.65023,             0.59606,             0.64688,              0.3839,            0.039177,            0.012658,            0.010147,            0.009802,            0.009802,            0.009802
                   8,            0.043673,            0.024492,            0.010297,             0.73468,              0.5487,             0.63225,             0.38047,            0.039665,            0.012391,            0.011426,            0.009769,            0.009769,            0.009769
                   9,            0.042501,            0.023319,            0.010176,             0.75775,             0.64927,             0.71651,             0.44473,            0.037385,            0.011473,           0.0076434,            0.009736,            0.009736,            0.009736
                  10,            0.042147,            0.023797,           0.0095149,             0.73768,             0.64801,             0.71743,             0.44106,            0.037902,            0.011654,           0.0085423,            0.009703,            0.009703,            0.009703
                  11,             0.04106,            0.024146,           0.0091998,             0.75277,             0.62739,             0.71022,             0.44224,              0.0369,            0.011585,           0.0085952,             0.00967,             0.00967,             0.00967
                  12,            0.039921,            0.022234,           0.0084971,             0.79137,             0.66973,             0.74744,             0.45056,            0.036438,            0.011123,           0.0075241,            0.009637,            0.009637,            0.009637
                  13,            0.039445,            0.021371,           0.0084101,             0.78379,             0.67335,             0.76094,             0.47075,            0.035007,            0.010951,           0.0063378,            0.009604,            0.009604,            0.009604
                  14,              0.0391,            0.022554,           0.0078218,             0.72991,             0.65907,             0.73284,             0.47346,            0.034197,            0.011197,           0.0068323,            0.009571,            0.009571,            0.009571
                  15,              0.0387,            0.023465,           0.0075565,             0.75426,             0.64917,             0.73217,             0.46796,            0.034796,            0.011563,           0.0087217,            0.009538,            0.009538,            0.009538
                  16,            0.038518,            0.021949,           0.0082334,             0.77674,             0.64874,             0.73169,             0.47277,            0.034907,            0.011316,           0.0073021,            0.009505,            0.009505,            0.009505
                  17,            0.038419,            0.021803,           0.0076966,             0.73532,             0.70325,             0.76309,             0.49084,            0.034399,            0.010937,           0.0054797,            0.009472,            0.009472,            0.009472
                  18,            0.037481,            0.022965,           0.0071767,             0.79074,             0.68053,             0.75985,             0.49987,            0.032563,            0.011008,           0.0073608,            0.009439,            0.009439,            0.009439
                  19,            0.037177,            0.022522,           0.0073186,             0.77726,             0.72511,             0.79846,             0.54252,            0.031724,            0.010253,           0.0054756,            0.009406,            0.009406,            0.009406
                  20,            0.036952,            0.021604,           0.0071195,             0.74472,             0.68401,             0.74664,             0.50477,            0.032553,             0.01092,           0.0059826,            0.009373,            0.009373,            0.009373
                  21,            0.036004,            0.023128,           0.0066115,             0.79189,             0.68421,             0.77088,             0.52212,             0.03193,            0.010817,           0.0063101,             0.00934,             0.00934,             0.00934
                  22,            0.035811,            0.021082,           0.0061137,             0.78977,             0.69862,             0.78249,             0.52071,            0.031701,            0.010579,           0.0056946,            0.009307,            0.009307,            0.009307
                  23,            0.035883,            0.021431,           0.0065049,             0.76235,             0.69441,             0.77118,             0.52237,            0.032828,            0.011096,           0.0093721,            0.009274,            0.009274,            0.009274
                  24,            0.035773,            0.021618,           0.0064935,             0.75671,             0.73128,             0.78536,             0.53046,            0.031653,            0.010595,           0.0052041,            0.009241,            0.009241,            0.009241
                  25,            0.035479,            0.021352,            0.006268,             0.78955,             0.72591,             0.79904,             0.56135,            0.031175,              0.0103,           0.0043408,            0.009208,            0.009208,            0.009208
                  26,            0.035416,            0.021927,           0.0060091,             0.76539,             0.72428,             0.78701,             0.54054,            0.030905,             0.01024,           0.0048059,            0.009175,            0.009175,            0.009175
                  27,            0.034466,            0.019115,           0.0056603,             0.80811,             0.70161,             0.78902,             0.53722,            0.031186,            0.010316,           0.0045384,            0.009142,            0.009142,            0.009142
                  28,            0.034735,            0.019921,           0.0056115,             0.75809,             0.71821,             0.79872,             0.56098,             0.03094,            0.010428,            0.005663,            0.009109,            0.009109,            0.009109
                  29,            0.034418,            0.021479,           0.0061107,             0.81424,             0.70124,             0.79912,             0.54545,            0.031222,             0.01046,           0.0049766,            0.009076,            0.009076,            0.009076
                  30,            0.034276,            0.019337,           0.0056535,             0.82768,             0.69332,             0.79696,             0.55572,            0.030943,            0.010542,           0.0052532,            0.009043,            0.009043,            0.009043
                  31,            0.034383,            0.020495,           0.0056735,             0.78314,             0.71397,             0.79837,             0.55223,            0.030396,            0.010363,           0.0036004,             0.00901,             0.00901,             0.00901
