               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095945,            0.023974,            0.028466,             0.46554,              0.1679,             0.11773,            0.046517,            0.056858,             0.01328,            0.023445,            0.070152,           0.0033164,           0.0033164
                   1,            0.065581,            0.022007,             0.02123,             0.38886,             0.23415,              0.2069,             0.10285,            0.050383,            0.010452,            0.018204,            0.040132,           0.0066298,           0.0066298
                   2,            0.062209,            0.019814,            0.016978,             0.29546,             0.30227,             0.26209,            0.095745,            0.052986,            0.010858,            0.014612,            0.010092,           0.0099232,           0.0099232
                   3,            0.058826,            0.020019,            0.013866,              0.2687,              0.4507,             0.34847,             0.16789,            0.046837,           0.0092269,             0.01131,             0.00991,             0.00991,             0.00991
                   4,            0.055336,            0.018686,            0.012021,             0.38894,             0.40457,             0.38861,             0.21309,            0.045144,           0.0097924,             0.01457,             0.00991,             0.00991,             0.00991
                   5,            0.053302,             0.01888,            0.011189,             0.47219,             0.48419,             0.47186,              0.2657,            0.042227,           0.0091959,           0.0093606,             0.00988,             0.00988,             0.00988
                   6,            0.051207,            0.018759,            0.010386,             0.55764,             0.55457,             0.57145,             0.33038,            0.040743,           0.0085444,           0.0076371,             0.00985,             0.00985,             0.00985
                   7,            0.049888,            0.018959,           0.0094747,             0.52363,               0.532,             0.54065,             0.30619,            0.040208,           0.0089043,           0.0085596,             0.00982,             0.00982,             0.00982
                   8,            0.049331,            0.018082,           0.0091986,             0.56807,              0.5681,             0.60652,             0.36943,            0.037088,           0.0088648,           0.0070347,             0.00979,             0.00979,             0.00979
                   9,            0.048512,             0.01689,           0.0088139,             0.59344,             0.56855,             0.58796,             0.36623,            0.037919,           0.0087077,           0.0071263,             0.00976,             0.00976,             0.00976
                  10,            0.047142,             0.01735,           0.0082841,             0.69623,             0.59697,             0.66695,             0.41499,            0.035959,           0.0081503,           0.0059843,             0.00973,             0.00973,             0.00973
                  11,            0.047093,            0.018161,           0.0078708,             0.70442,             0.61713,              0.6807,             0.41352,             0.03659,           0.0083663,           0.0054658,              0.0097,              0.0097,              0.0097
                  12,             0.04654,            0.017472,           0.0076988,             0.73129,             0.61269,             0.67706,             0.41912,             0.03589,           0.0081245,           0.0054378,             0.00967,             0.00967,             0.00967
