               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077195,            0.034724,            0.037186,             0.65763,             0.31137,              0.3303,             0.14586,            0.052643,            0.013561,             0.02049,            0.070152,           0.0033164,           0.0033164
                   1,            0.054985,            0.024578,            0.016418,             0.52211,             0.62074,             0.55383,             0.29867,            0.045226,            0.010217,            0.010188,             0.04013,           0.0066278,           0.0066278
                   2,            0.051118,            0.022087,            0.011632,             0.59416,             0.61049,             0.59307,              0.3166,            0.046875,            0.010679,           0.0092467,            0.010086,           0.0099172,           0.0099172
                   3,            0.046108,            0.023649,            0.011192,             0.55749,             0.61519,             0.59265,             0.32089,            0.042737,            0.011582,           0.0099662,            0.009901,            0.009901,            0.009901
                   4,            0.043547,            0.022012,           0.0095234,             0.71367,             0.63109,             0.69908,             0.42449,            0.035881,            0.010981,           0.0084175,            0.009901,            0.009901,            0.009901
                   5,            0.040907,             0.02291,           0.0087574,             0.76972,             0.64417,              0.7311,             0.42102,            0.035193,            0.010959,           0.0078215,            0.009868,            0.009868,            0.009868
                   6,             0.03905,            0.021356,           0.0079182,             0.77784,              0.6633,             0.74245,             0.47794,            0.034018,            0.010636,           0.0074199,            0.009835,            0.009835,            0.009835
                   7,            0.038377,            0.022241,           0.0074522,             0.76163,             0.66783,             0.73804,             0.48509,            0.033633,            0.010773,           0.0078284,            0.009802,            0.009802,            0.009802
                   8,            0.037473,            0.022233,           0.0072118,             0.75059,             0.68938,              0.7637,             0.50067,            0.032243,            0.010647,           0.0063523,            0.009769,            0.009769,            0.009769
                   9,            0.037047,            0.019862,           0.0064371,             0.81752,             0.66111,             0.78028,             0.54275,            0.030391,            0.010514,           0.0053923,            0.009736,            0.009736,            0.009736
                  10,            0.035879,            0.020569,           0.0064927,             0.81543,             0.72869,             0.80774,             0.55655,            0.031976,            0.010016,           0.0049048,            0.009703,            0.009703,            0.009703
                  11,            0.035947,            0.020912,           0.0066288,             0.77923,             0.72234,              0.7803,             0.51669,            0.031787,            0.010373,            0.005518,             0.00967,             0.00967,             0.00967
                  12,            0.035016,            0.020215,           0.0059582,              0.8107,             0.72528,             0.79711,             0.53314,            0.030548,             0.01003,           0.0055611,            0.009637,            0.009637,            0.009637
                  13,            0.034442,            0.020874,           0.0060315,             0.82058,             0.70536,             0.78216,             0.53846,            0.031324,            0.010661,           0.0060213,            0.009604,            0.009604,            0.009604
                  14,            0.033871,            0.018175,           0.0054354,             0.81564,             0.74034,             0.81747,             0.55894,            0.030284,           0.0094092,           0.0042335,            0.009571,            0.009571,            0.009571
                  15,            0.033824,            0.019278,           0.0055502,             0.81417,             0.69177,             0.78295,              0.5419,            0.029653,            0.010419,            0.007073,            0.009538,            0.009538,            0.009538
                  16,            0.033022,            0.018371,            0.005707,             0.77521,             0.74332,             0.81112,             0.56387,            0.029094,           0.0095392,           0.0054391,            0.009505,            0.009505,            0.009505
                  17,             0.03285,            0.019937,           0.0049646,             0.80292,             0.75208,             0.82267,             0.57014,            0.028921,           0.0093499,           0.0045506,            0.009472,            0.009472,            0.009472
                  18,            0.032238,            0.020051,           0.0048125,             0.83873,             0.74377,             0.82892,             0.59285,            0.027199,           0.0096091,           0.0045662,            0.009439,            0.009439,            0.009439
                  19,            0.031215,            0.018015,           0.0046556,             0.82162,             0.70872,             0.80298,             0.58138,            0.029702,           0.0098303,           0.0051641,            0.009406,            0.009406,            0.009406
                  20,            0.030963,            0.018289,             0.00419,             0.82932,             0.73511,             0.81423,             0.58409,            0.028981,           0.0097154,            0.005014,            0.009373,            0.009373,            0.009373
                  21,            0.031097,             0.01867,           0.0043574,             0.83857,             0.75094,             0.84861,             0.62343,            0.026584,           0.0091315,           0.0042058,             0.00934,             0.00934,             0.00934
                  22,            0.031218,            0.019347,           0.0039962,              0.7938,             0.71094,             0.78957,             0.56883,            0.028344,           0.0099645,           0.0066649,            0.009307,            0.009307,            0.009307
                  23,            0.030107,            0.017847,           0.0038685,             0.85551,             0.76885,             0.85981,             0.64357,            0.026017,            0.008988,            0.002947,            0.009274,            0.009274,            0.009274
                  24,            0.029772,            0.017342,           0.0039576,             0.84444,             0.76603,             0.84089,             0.61225,            0.026615,           0.0090562,           0.0047317,            0.009241,            0.009241,            0.009241
                  25,            0.029733,            0.019905,           0.0041941,             0.81766,             0.72705,             0.81231,             0.58521,            0.027936,           0.0096163,           0.0042315,            0.009208,            0.009208,            0.009208
                  26,            0.029157,            0.017218,           0.0037562,              0.7921,             0.78118,             0.84776,             0.63209,            0.026521,           0.0092502,           0.0050517,            0.009175,            0.009175,            0.009175
                  27,            0.029073,            0.017937,           0.0037252,             0.80147,             0.76449,             0.83615,             0.60205,            0.026646,           0.0091843,           0.0044522,            0.009142,            0.009142,            0.009142
                  28,            0.028674,            0.016994,           0.0036292,              0.8779,             0.79236,             0.87877,             0.66196,            0.025316,           0.0084381,           0.0026214,            0.009109,            0.009109,            0.009109
                  29,            0.028434,            0.017645,           0.0034773,             0.83201,             0.78773,             0.86013,             0.64376,            0.026452,           0.0088146,           0.0034865,            0.009076,            0.009076,            0.009076
                  30,            0.028593,            0.017831,           0.0037705,              0.8833,             0.79841,             0.88029,             0.66121,            0.025476,           0.0084265,            0.003172,            0.009043,            0.009043,            0.009043
                  31,            0.028003,            0.017142,           0.0033267,             0.87623,             0.78564,             0.87192,             0.66155,            0.025044,           0.0083981,           0.0029747,             0.00901,             0.00901,             0.00901
                  32,            0.027213,            0.014744,            0.003161,             0.86566,             0.81251,             0.88598,              0.6683,             0.02472,           0.0082013,           0.0031994,            0.008977,            0.008977,            0.008977
                  33,            0.027274,            0.015543,           0.0031033,             0.87191,             0.81506,             0.88486,             0.66728,             0.02516,           0.0081519,           0.0026663,            0.008944,            0.008944,            0.008944
                  34,            0.027363,            0.017972,           0.0029919,             0.87783,             0.77276,             0.85934,             0.65217,            0.025259,           0.0085554,           0.0039937,            0.008911,            0.008911,            0.008911
                  35,            0.027283,            0.016226,           0.0034589,             0.83831,             0.83087,             0.87605,             0.65644,            0.024992,           0.0082961,            0.003031,            0.008878,            0.008878,            0.008878
                  36,            0.026541,            0.015652,           0.0026651,             0.84312,             0.81989,             0.88195,             0.67574,            0.025257,           0.0082999,            0.002997,            0.008845,            0.008845,            0.008845
                  37,            0.026604,            0.015862,           0.0031017,             0.87828,                0.79,             0.88199,             0.67216,            0.024807,           0.0082463,           0.0025173,            0.008812,            0.008812,            0.008812
                  38,            0.026505,            0.016972,           0.0026871,             0.85284,              0.8223,             0.87815,             0.66705,            0.024605,           0.0084621,             0.00352,            0.008779,            0.008779,            0.008779
                  39,            0.025884,             0.01515,           0.0028012,             0.85147,             0.83562,             0.89119,             0.68624,            0.024492,           0.0081454,            0.002555,            0.008746,            0.008746,            0.008746
                  40,            0.026189,            0.016193,           0.0028778,             0.84059,             0.82126,             0.86885,             0.66112,            0.024962,           0.0082208,           0.0025917,            0.008713,            0.008713,            0.008713
                  41,            0.026111,            0.016487,           0.0028943,             0.86616,             0.81234,             0.88117,              0.6786,            0.024504,            0.008262,           0.0026635,             0.00868,             0.00868,             0.00868
                  42,             0.02587,            0.016027,           0.0029791,             0.84325,              0.8316,              0.8849,             0.66597,            0.024388,           0.0084151,           0.0026302,            0.008647,            0.008647,            0.008647
                  43,            0.025831,            0.014861,           0.0025418,             0.84133,             0.78458,             0.84947,             0.65492,            0.025063,           0.0087241,           0.0057374,            0.008614,            0.008614,            0.008614
                  44,            0.025529,            0.014863,           0.0028481,             0.87227,             0.81812,             0.89061,             0.68381,             0.02368,           0.0081937,           0.0025965,            0.008581,            0.008581,            0.008581
                  45,            0.025513,            0.014756,           0.0024566,             0.83833,             0.85371,             0.89474,             0.68756,            0.023377,           0.0080797,           0.0020843,            0.008548,            0.008548,            0.008548
                  46,            0.024853,            0.015425,           0.0024978,             0.83702,             0.82419,             0.87722,             0.67392,            0.024011,           0.0082418,           0.0036206,            0.008515,            0.008515,            0.008515
