               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089381,            0.033007,            0.043766,             0.52916,             0.14411,             0.12959,            0.048775,            0.061775,            0.016219,             0.03222,            0.070142,           0.0033175,           0.0033175
                   1,            0.061138,             0.02941,             0.02632,             0.33215,             0.37513,              0.2929,             0.15046,            0.052133,            0.013066,            0.022093,             0.04012,           0.0066289,           0.0066289
                   2,            0.057602,            0.026015,            0.019022,             0.43053,             0.39296,             0.39641,             0.19308,            0.050072,            0.013029,            0.014773,            0.010076,           0.0099183,           0.0099183
                   3,            0.053187,            0.025595,            0.015974,             0.49882,             0.41703,             0.42197,             0.20644,            0.047904,            0.014405,            0.017751,            0.009901,            0.009901,            0.009901
                   4,            0.049543,            0.025603,            0.014392,             0.64709,             0.49268,             0.56164,             0.31869,            0.043142,            0.012358,            0.015594,            0.009901,            0.009901,            0.009901
                   5,            0.047448,            0.025784,            0.013042,             0.63877,             0.57619,              0.5991,             0.31679,            0.046199,             0.01244,            0.011091,            0.009868,            0.009868,            0.009868
                   6,            0.046161,            0.025583,            0.012163,             0.68088,             0.63321,             0.68144,             0.38889,            0.040115,            0.011986,           0.0079636,            0.009835,            0.009835,            0.009835
                   7,            0.045271,             0.02576,            0.011643,             0.71771,             0.64098,             0.68976,             0.39827,            0.038897,            0.011752,           0.0080892,            0.009802,            0.009802,            0.009802
                   8,            0.043825,            0.023259,            0.010325,             0.65665,             0.61409,             0.65982,             0.37975,            0.039845,            0.012274,           0.0095563,            0.009769,            0.009769,            0.009769
                   9,            0.043004,            0.024273,           0.0099324,             0.74977,             0.61644,             0.67946,              0.4205,            0.038265,            0.011888,           0.0084233,            0.009736,            0.009736,            0.009736
                  10,            0.041808,            0.023122,           0.0097321,             0.71356,             0.60764,             0.67095,             0.40093,            0.037652,             0.01224,           0.0092783,            0.009703,            0.009703,            0.009703
                  11,            0.041949,            0.024998,            0.009576,             0.73635,             0.66284,             0.72215,             0.44589,            0.036085,            0.011808,           0.0067587,             0.00967,             0.00967,             0.00967
                  12,            0.040373,            0.022628,           0.0087928,             0.73898,             0.66787,             0.73779,             0.45515,            0.034855,            0.011445,           0.0080097,            0.009637,            0.009637,            0.009637
                  13,            0.039179,            0.021356,           0.0078405,             0.72156,             0.63045,             0.69838,             0.43498,            0.036503,            0.011844,           0.0081305,            0.009604,            0.009604,            0.009604
                  14,            0.039426,            0.022741,           0.0078158,             0.77341,             0.63922,             0.72793,             0.46357,            0.034784,            0.011167,           0.0074549,            0.009571,            0.009571,            0.009571
                  15,            0.038955,            0.021505,            0.007473,             0.74922,             0.70397,             0.75609,             0.48486,            0.034379,            0.010875,             0.00563,            0.009538,            0.009538,            0.009538
                  16,            0.038419,            0.021795,           0.0075389,             0.78814,             0.69114,             0.77233,              0.5123,            0.033719,            0.010947,           0.0062093,            0.009505,            0.009505,            0.009505
                  17,            0.038393,            0.024198,            0.007183,             0.76269,             0.67794,             0.74944,             0.49518,             0.03392,            0.011003,            0.007242,            0.009472,            0.009472,            0.009472
                  18,            0.038188,            0.022006,           0.0075164,             0.78914,              0.7067,             0.77587,             0.51463,            0.033532,            0.010927,           0.0071912,            0.009439,            0.009439,            0.009439
                  19,            0.037226,             0.02161,           0.0069132,             0.79983,             0.68975,             0.78316,             0.51826,            0.032804,            0.011027,           0.0052956,            0.009406,            0.009406,            0.009406
                  20,            0.037547,             0.02273,            0.006742,             0.78291,             0.68652,             0.77613,              0.5254,             0.03299,            0.010886,           0.0074098,            0.009373,            0.009373,            0.009373
                  21,            0.036694,            0.021984,           0.0066428,             0.76994,             0.67037,              0.7509,             0.49337,            0.034024,            0.010857,            0.005868,             0.00934,             0.00934,             0.00934
