               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088699,            0.032753,            0.043328,             0.13079,             0.23923,             0.16485,             0.06041,            0.059092,            0.016198,            0.030933,            0.070138,            0.003318,            0.003318
                   1,            0.061111,            0.028228,            0.026721,             0.36889,             0.47746,             0.38858,             0.16063,            0.051031,            0.012849,             0.02079,            0.040116,           0.0066294,           0.0066294
                   2,            0.057587,            0.026527,            0.019417,             0.45805,             0.42932,             0.41864,             0.19973,            0.048086,            0.012685,            0.015395,            0.010072,           0.0099187,           0.0099187
                   3,            0.052611,            0.024272,            0.015836,             0.45087,             0.48454,             0.45472,             0.23946,            0.044925,             0.01357,              0.0133,            0.009901,            0.009901,            0.009901
                   4,            0.048727,            0.024784,            0.014752,             0.61715,             0.54827,             0.58557,              0.3075,             0.04584,            0.013013,             0.01273,            0.009901,            0.009901,            0.009901
                   5,            0.047609,             0.02539,            0.013226,             0.62549,             0.53762,             0.58904,             0.32314,            0.045112,            0.012269,            0.013441,            0.009868,            0.009868,            0.009868
                   6,            0.046301,            0.024391,            0.012441,             0.65384,             0.55202,             0.59841,             0.32781,            0.042571,            0.012317,            0.012136,            0.009835,            0.009835,            0.009835
                   7,            0.045296,            0.025506,            0.010813,             0.64934,             0.56836,             0.61199,             0.35667,             0.04088,            0.012913,           0.0094148,            0.009802,            0.009802,            0.009802
                   8,            0.043944,            0.023496,            0.010586,             0.73608,             0.55734,             0.65156,             0.36601,            0.040157,            0.013451,            0.012142,            0.009769,            0.009769,            0.009769
                   9,            0.043235,            0.022332,           0.0095685,             0.67381,             0.63568,             0.68557,             0.40039,            0.038301,            0.011623,           0.0082703,            0.009736,            0.009736,            0.009736
                  10,             0.04193,            0.023425,           0.0095282,              0.7481,             0.64037,             0.71215,             0.43004,            0.038302,            0.011695,           0.0076888,            0.009703,            0.009703,            0.009703
                  11,            0.041084,            0.023259,           0.0087619,             0.76036,             0.57984,               0.685,             0.42214,            0.038056,            0.012295,           0.0072807,             0.00967,             0.00967,             0.00967
                  12,            0.040698,            0.023299,           0.0084349,             0.78109,             0.64124,             0.72704,             0.46523,            0.036588,            0.011756,           0.0077362,            0.009637,            0.009637,            0.009637
                  13,            0.039517,            0.021436,           0.0081167,             0.73066,             0.67722,             0.73307,             0.46525,            0.034532,            0.011149,           0.0071034,            0.009604,            0.009604,            0.009604
                  14,             0.03976,            0.020846,           0.0082237,             0.76727,             0.65226,             0.73989,             0.44882,            0.036213,            0.011198,           0.0064517,            0.009571,            0.009571,            0.009571
                  15,            0.038889,            0.022249,           0.0077832,             0.79048,             0.68192,             0.76771,             0.50656,            0.034019,            0.010783,           0.0060059,            0.009538,            0.009538,            0.009538
