               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05206,            0.072627,            0.025635,             0.59333,             0.48389,             0.52834,             0.33174,               0.049,            0.044023,            0.018847,              0.0937,              0.0007,              0.0007
                   1,            0.051381,            0.068851,            0.027269,             0.59949,             0.51015,             0.55454,             0.35074,            0.048063,            0.043227,            0.017153,            0.086485,           0.0014851,           0.0014851
                   2,            0.052042,            0.077744,            0.025774,             0.63001,             0.55527,             0.59391,             0.36606,            0.047664,            0.042416,            0.015997,            0.079254,           0.0022545,           0.0022545
                   3,             0.05135,            0.070265,            0.022662,             0.60443,             0.57886,              0.6162,             0.36234,            0.048427,            0.042412,            0.014844,            0.072008,           0.0030079,           0.0030079
                   4,            0.052355,            0.068974,            0.021765,             0.62114,             0.54119,             0.60179,             0.32441,            0.051522,            0.041067,            0.013677,            0.064746,           0.0037456,           0.0037456
                   5,            0.052964,            0.064397,            0.022105,             0.70221,             0.52794,             0.60651,              0.3307,            0.051582,            0.039726,            0.012823,            0.057467,           0.0044673,           0.0044673
                   6,            0.053097,             0.05756,            0.020942,             0.64736,             0.56457,             0.60637,             0.31819,            0.052458,            0.038869,            0.012167,            0.050173,           0.0051733,           0.0051733
                   7,            0.056003,             0.06869,            0.018139,             0.56609,             0.58201,             0.60267,             0.33665,            0.053078,            0.038856,            0.012051,            0.042863,           0.0058634,           0.0058634
                   8,            0.055143,            0.066395,            0.020261,             0.53842,              0.5919,             0.58099,             0.29712,             0.05488,            0.038117,            0.011117,            0.035538,           0.0065377,           0.0065377
                   9,            0.055661,            0.061999,            0.018102,             0.64127,             0.58044,             0.63913,             0.37407,             0.05308,            0.037378,            0.010546,            0.028196,           0.0071961,           0.0071961
                  10,            0.057692,            0.070789,            0.017486,             0.64664,             0.58017,             0.62845,              0.3356,            0.055171,            0.036924,            0.010869,            0.020839,           0.0078387,           0.0078387
                  11,            0.056463,            0.063767,            0.016838,             0.66479,             0.57708,             0.63426,             0.32775,            0.054633,            0.038739,            0.011053,            0.013465,           0.0084655,           0.0084655
                  12,             0.05708,            0.057325,            0.017765,             0.62234,             0.59965,             0.62471,             0.34821,            0.054272,            0.037405,            0.010337,            0.008812,            0.008812,            0.008812
                  13,            0.057147,            0.063541,            0.017578,             0.62226,             0.60479,             0.63108,             0.36163,            0.051514,            0.037275,              0.0101,            0.008812,            0.008812,            0.008812
                  14,            0.055343,            0.056747,            0.015789,              0.7039,             0.60987,             0.65068,             0.37332,            0.051129,            0.037379,            0.010114,            0.008713,            0.008713,            0.008713
                  15,            0.054226,            0.060612,            0.015645,             0.72015,             0.58527,             0.65939,             0.35603,            0.052197,            0.036626,           0.0098829,            0.008614,            0.008614,            0.008614
                  16,            0.055362,            0.056548,             0.01628,             0.73954,             0.61066,             0.69678,             0.39414,            0.052604,            0.035689,           0.0094399,            0.008515,            0.008515,            0.008515
                  17,            0.053978,            0.056026,            0.016294,             0.72757,             0.55606,             0.65433,             0.33142,            0.052177,            0.039165,            0.011085,            0.008416,            0.008416,            0.008416
                  18,            0.050026,            0.058203,            0.015544,             0.68603,             0.61977,              0.6708,             0.36775,            0.050785,            0.037519,            0.010942,            0.008317,            0.008317,            0.008317
                  19,            0.050749,            0.058171,            0.017392,             0.70332,             0.64857,             0.71306,             0.38863,            0.051707,            0.034904,           0.0090218,            0.008218,            0.008218,            0.008218
                  20,             0.05327,             0.05614,            0.015669,             0.70014,             0.63564,             0.70297,             0.36296,             0.05435,            0.034245,            0.008368,            0.008119,            0.008119,            0.008119
                  21,            0.053061,            0.053936,            0.014546,             0.66314,             0.64375,             0.68524,             0.35194,            0.056418,            0.034184,           0.0078614,             0.00802,             0.00802,             0.00802
                  22,            0.054298,             0.05843,            0.015966,             0.69454,             0.71616,             0.75802,             0.42753,            0.048682,            0.034146,           0.0077295,            0.007921,            0.007921,            0.007921
                  23,            0.050363,            0.054559,            0.013946,              0.7285,             0.68885,             0.77032,             0.44918,             0.04839,            0.033479,           0.0074215,            0.007822,            0.007822,            0.007822
                  24,            0.048718,            0.057979,            0.014303,             0.68395,             0.66572,              0.7417,             0.43916,            0.050135,            0.034281,            0.007524,            0.007723,            0.007723,            0.007723
                  25,            0.051195,            0.048559,             0.01433,             0.74083,             0.69785,             0.77374,             0.45185,            0.049658,            0.033715,           0.0075378,            0.007624,            0.007624,            0.007624
                  26,            0.049396,            0.059214,            0.013525,             0.71749,             0.70428,             0.77374,             0.43586,            0.049008,             0.03318,            0.007055,            0.007525,            0.007525,            0.007525
                  27,            0.051651,            0.062216,             0.01286,             0.76183,             0.69738,              0.7647,             0.42163,            0.047897,             0.03328,           0.0069604,            0.007426,            0.007426,            0.007426
                  28,            0.050754,            0.059297,            0.014647,             0.74309,             0.68525,             0.74846,              0.4046,             0.04897,            0.033311,           0.0068564,            0.007327,            0.007327,            0.007327
                  29,            0.050377,            0.053951,            0.013104,             0.76746,             0.64283,             0.75103,             0.41403,            0.049539,            0.033788,           0.0076675,            0.007228,            0.007228,            0.007228
                  30,            0.051221,            0.054258,             0.01302,             0.79415,             0.67532,             0.78645,             0.46784,            0.048034,            0.031977,           0.0066304,            0.007129,            0.007129,            0.007129
                  31,            0.049997,            0.059137,            0.012253,              0.7852,             0.67403,             0.78522,             0.45687,            0.047305,            0.033147,           0.0070302,             0.00703,             0.00703,             0.00703
                  32,            0.050405,            0.052905,            0.013044,             0.76206,             0.71495,             0.80084,             0.46156,            0.047433,            0.032744,           0.0066395,            0.006931,            0.006931,            0.006931
                  33,            0.049169,            0.057585,            0.012028,             0.71024,             0.75377,             0.82149,             0.47579,            0.047283,            0.031693,           0.0061798,            0.006832,            0.006832,            0.006832
                  34,            0.049811,            0.056726,            0.012888,             0.74569,             0.73406,             0.81002,             0.48012,            0.045629,            0.031554,           0.0061247,            0.006733,            0.006733,            0.006733
                  35,            0.048994,            0.057281,            0.012022,             0.77154,             0.72879,              0.8104,             0.47243,            0.046468,            0.031328,           0.0061295,            0.006634,            0.006634,            0.006634
                  36,             0.04956,            0.055524,            0.011814,             0.78372,             0.72773,             0.81291,             0.47927,            0.045896,            0.031348,           0.0060451,            0.006535,            0.006535,            0.006535
                  37,            0.048401,            0.054152,            0.012381,             0.75252,             0.72279,             0.81579,             0.48504,             0.04659,            0.030891,           0.0059519,            0.006436,            0.006436,            0.006436
                  38,            0.048752,            0.055182,            0.011325,             0.75386,             0.73841,             0.82051,             0.50933,            0.044829,             0.03124,           0.0059726,            0.006337,            0.006337,            0.006337
                  39,            0.048985,            0.054094,            0.011336,             0.71227,              0.7761,             0.82231,              0.4922,            0.045335,            0.031229,           0.0059171,            0.006238,            0.006238,            0.006238
                  40,            0.047349,            0.052613,            0.012075,             0.74483,             0.75524,             0.82693,             0.49194,            0.045224,            0.032058,           0.0059452,            0.006139,            0.006139,            0.006139
                  41,            0.048318,             0.05073,            0.012327,             0.81184,             0.74938,             0.84543,             0.52739,             0.04234,            0.030272,           0.0055788,             0.00604,             0.00604,             0.00604
                  42,            0.046998,            0.051249,            0.011477,             0.81344,             0.75493,             0.84897,             0.51972,            0.043765,            0.029921,            0.005512,            0.005941,            0.005941,            0.005941
                  43,            0.045287,            0.053968,            0.011068,             0.77126,             0.79817,             0.84596,             0.53436,            0.042044,             0.02938,           0.0053949,            0.005842,            0.005842,            0.005842
                  44,            0.046977,            0.053531,             0.01182,             0.81193,             0.79869,             0.85708,             0.49471,            0.044957,            0.029469,           0.0051708,            0.005743,            0.005743,            0.005743
                  45,            0.046867,            0.045495,            0.011608,             0.81444,             0.80358,             0.85906,             0.52019,            0.043484,            0.028992,           0.0051398,            0.005644,            0.005644,            0.005644
                  46,             0.04667,            0.051035,            0.010161,             0.81709,             0.80975,             0.86725,             0.57298,            0.041573,            0.028934,           0.0050881,            0.005545,            0.005545,            0.005545
                  47,            0.044331,            0.049969,            0.010629,             0.76122,             0.80643,             0.84856,             0.51487,            0.043894,            0.028704,           0.0050201,            0.005446,            0.005446,            0.005446
                  48,            0.045855,            0.047452,           0.0099871,             0.83637,             0.75946,             0.85195,             0.56427,            0.041787,            0.028017,           0.0049374,            0.005347,            0.005347,            0.005347
                  49,             0.04477,            0.048032,           0.0099943,             0.85324,             0.76039,             0.86559,             0.53465,            0.042397,             0.02811,           0.0049362,            0.005248,            0.005248,            0.005248
                  50,            0.045047,            0.046371,            0.010638,             0.86638,             0.75765,             0.86455,              0.5465,            0.042097,            0.028362,           0.0048497,            0.005149,            0.005149,            0.005149
                  51,            0.046333,             0.05306,            0.011368,             0.82104,             0.80689,              0.8666,             0.52536,            0.042843,            0.029099,           0.0047266,             0.00505,             0.00505,             0.00505
                  52,            0.045873,            0.050618,            0.010099,             0.85171,             0.79261,             0.86985,             0.54932,            0.040992,            0.027836,           0.0046656,            0.004951,            0.004951,            0.004951
                  53,            0.044123,            0.046704,            0.010987,             0.83386,             0.78696,             0.85392,              0.5461,            0.042667,            0.027294,           0.0046563,            0.004852,            0.004852,            0.004852
                  54,            0.045999,            0.045213,            0.011281,             0.88212,             0.78354,             0.86739,             0.56552,            0.040181,            0.027731,           0.0046678,            0.004753,            0.004753,            0.004753
                  55,            0.044895,            0.048993,             0.01028,             0.87335,             0.78375,             0.86973,             0.56548,            0.040934,            0.027905,           0.0045142,            0.004654,            0.004654,            0.004654
                  56,            0.044463,            0.049955,             0.01048,             0.86358,             0.79372,             0.87426,             0.58477,            0.039269,            0.027712,           0.0043774,            0.004555,            0.004555,            0.004555
